,tlc,station,latitude,longitude,time,time_hours,to,total_time
39,ANS,Ainsdale [ANS],53.6020141531911,-3.04236446368896,3h15m,3.0,London Euston [EUS],195.0
40,AON,Alton [AON],51.152523651288796,-0.96786,1h07m,1.0,London Waterloo [WAT],67.0
41,APB,Appley Bridge [APB],53.581104,-2.720849,2h27m,2.0,London Euston [EUS],147.0
42,APD,Appledore (Kent) [APD],51.0340362668472,0.813496,1h16m,0.0,London St Pancras International [STP],58.0
43,APF,Appleford [APF],51.62807,-1.245281,1h13m,0.0,London Paddington [PAD],55.0
44,APG,Aspley Guise [APG],52.0200511278683,-0.631131795401467,1h10m,1.0,London Euston [EUS],70.0
45,APP,Appleby [APP],54.5798941311491,-2.48681062471301,4h27m,4.0,London Euston [EUS],267.0
46,APS,Apsley [APS],51.732147,-0.462629,28m,0.0,London Euston [EUS],28.0
47,ARL,Arlesey [ARL],52.0254848755212,-0.265437136921322,38m,0.0,London Kings Cross [KGX],38.0
48,ARN,Arnside [ARN],54.202009776880395,-2.8252224105497,3h19m,3.0,London Euston [EUS],199.0
49,ARR,Arram [ARR],53.8841710133896,-0.421845,3h09m,3.0,London Kings Cross [KGX],189.0
50,ARU,Arundel [ARU],50.84785656,-0.54581598,1h24m,1.0,London Victoria [VIC],84.0
51,ASC,Ashchurch for Tewkesbury [ASC],52.0018538735293,-2.13146204998049,2h27m,2.0,London Euston [EUS],147.0
52,ASG,Alsager [ASG],53.0935859149942,-2.29865840520837,1h57m,1.0,London Euston [EUS],117.0
53,ASH,Ash [ASH],51.249916837875396,-0.7118794028296072,1h01m,0.0,London Waterloo [WAT],53.0
54,ASK,Askam [ASK],54.189106752967504,-3.2027232582860297,3h50m,3.0,London Euston [EUS],230.0
55,ASN,Addlestone [ASN],51.3731677703306,-0.484395179263841,1h14m,0.0,London Waterloo [WAT],57.0
56,ASP,Aspatria [ASP],54.75795407862129,-3.3345136476982997,4h08m,4.0,London Euston [EUS],248.0
57,AST,Aston [AST],52.50420098,-1.87202202,1h43m,1.0,London Euston [EUS],103.0
58,ASY,Ashley [ASY],53.35552800674371,-2.3429312440663397,2h33m,2.0,London Euston [EUS],153.0
59,ATB,Attenborough [ATB],52.9058955172501,-1.2314062144267,2h00m,2.0,London St Pancras International [STP],120.0
60,ATL,Attleborough [ATL],52.514816,1.020597,2h06m,2.0,London Kings Cross [KGX],126.0
61,ATN,Atherton [ATN],53.5306462273389,-2.4779932857265203,2h34m,2.0,London Euston [EUS],154.0
62,AUD,Audley End [AUD],52.0056410333225,0.20831194176878698,1h01m,0.0,London Liverpool Street [LST],51.0
63,AUG,Aughton Park [AUG],53.5543571379901,-2.8970194611243,3h21m,3.0,London Euston [EUS],201.0
64,AVF,Avoncliff [AVF],51.33802427,-2.283425565,2h09m,2.0,London Paddington [PAD],129.0
65,AVN,Avonmouth [AVN],51.49998595268929,-2.69872564653457,2h25m,2.0,London Paddington [PAD],145.0
66,AVY,Aberdovey [AVY],52.544766,-4.05181874721756,4h23m,4.0,London Euston [EUS],263.0
67,AWM,Ashwell & Morden [AWM],52.030823,-0.10967,1h07m,0.0,London Kings Cross [KGX],41.0
68,AXM,Axminster [AXM],50.779242851968,-3.0045239484813897,2h43m,2.0,London Waterloo [WAT],163.0
69,AYH,Aylesham [AYH],51.143721,0.876256,1h45m,1.0,London St Pancras International [STP],105.0
70,AYL,Aylesford [AYL],51.299672368790205,0.46771800192463703,56m,0.0,London St Pancras International [STP],56.0
71,AYS,Aylesbury [AYS],51.8137493180782,-0.814751422547729,1h00m,0.0,London Marylebone [MYB],58.0
72,AYW,Aberystwyth [AYW],52.413953318008296,-4.0818304480065795,4h26m,4.0,London Euston [EUS],266.0
73,BAA,Barnham [BAA],50.831612276128,-0.640312535796934,1h22m,1.0,London Victoria [VIC],82.0
74,BAB,Balcombe [BAB],51.0555718571249,-0.136888807443673,43m,0.0,London Bridge [LBG],43.0
75,BAC,Bache [BAC],53.2114270185071,-2.89030238801544,2h21m,2.0,London Euston [EUS],141.0
76,BAD,Banstead [BAD],51.3293510837102,-0.21409174038647896,41m,0.0,London Victoria [VIC],41.0
77,BAG,Bagshot [BAG],51.3638269434614,-0.689639719915605,1h11m,1.0,London Waterloo [WAT],71.0
78,BAH,Bank Hall [BAH],53.437437530912504,-2.98741981533637,2h56m,2.0,London Euston [EUS],176.0
79,BAJ,Baglan [BAJ],51.6158627269981,-3.80697418589059,2h57m,2.0,London Paddington [PAD],177.0
80,BAM,Bamford [BAM],53.334597181225206,-1.67725044105669,2h48m,2.0,London Euston [EUS],168.0
81,BAN,Banbury [BAN],52.059148,-1.326721,1h01m,0.0,London Marylebone [MYB],58.0
82,BAR,Bare Lane [BAR],54.075366419766205,-2.8365238286957206,3h15m,3.0,London Euston [EUS],195.0
83,BAS,Bere Alston [BAS],50.48230579328361,-4.197328,3h55m,3.0,London Paddington [PAD],235.0
84,BAT,Battle [BAT],50.913377,0.494486,1h12m,1.0,London Bridge [LBG],72.0
85,BAU,Barton-on-Humber [BAU],53.6824694889433,-0.45513683116851794,3h32m,3.0,London Kings Cross [KGX],212.0
86,BAV,Barrow Haven [BAV],53.695990974745904,-0.393100476515076,3h27m,3.0,London Kings Cross [KGX],207.0
87,BAW,Blackwater [BAW],51.3330007483341,-0.777736667676744,1h01m,1.0,London Paddington [PAD],61.0
88,BBK,Bilbrook [BBK],52.62395736374929,-2.1805491215974597,2h02m,2.0,London Euston [EUS],122.0
89,BBL,Bat & Ball [BBL],51.2892386339965,0.194575638534697,47m,0.0,London Charing Cross [CHX],47.0
90,BBN,Blackburn [BBN],53.74644904,-2.47950039,2h43m,2.0,London Euston [EUS],163.0
91,BBW,Berry Brow [BBW],53.6210813156818,-1.792615,3h08m,3.0,London Kings Cross [KGX],188.0
92,BCB,Burscough Bridge [BCB],53.6104484665273,-2.86619473485958,2h36m,2.0,London Euston [EUS],156.0
93,BCC,Beccles [BCC],52.4580165244615,1.567817,2h30m,2.0,London Liverpool Street [LST],150.0
94,BCE,Bracknell [BCE],51.4130904360323,-0.7518473673908579,1h01m,0.0,London Paddington [PAD],55.0
95,BCF,Beaconsfield [BCF],51.611484038111804,-0.6436431131989909,23m,0.0,London Marylebone [MYB],23.0
96,BCG,Birchgrove [BCG],51.522099786357096,-3.20291979748885,2h39m,2.0,London Paddington [PAD],159.0
97,BCH,Birchington-on-Sea [BCH],51.3771429157652,1.30221712234383,1h32m,1.0,London St Pancras International [STP],92.0
98,BCJ,Burscough Junction [BCJ],53.596978365602894,-2.83918929099621,2h54m,2.0,London Euston [EUS],174.0
99,BCK,Buckley [BCK],53.1623909113846,-3.0553564563251094,3h13m,3.0,London Euston [EUS],193.0
100,BCS,Bicester North [BCS],51.90357658421971,-1.15257644206986,1h03m,0.0,London Marylebone [MYB],46.0
101,BCU,Brockenhurst [BCU],50.816596,-1.573505,1h34m,1.0,London Paddington [PAD],94.0
102,BDA,Brundall [BDA],52.62090907213221,1.44028281426925,2h10m,2.0,London Liverpool Street [LST],130.0
103,BDB,Broadbottom [BDB],53.4409087857097,-2.0115378126451797,2h48m,2.0,London Euston [EUS],168.0
104,BDG,Bridgeton [BDG],55.8488064363527,-4.22614325385177,4h55m,4.0,London Euston [EUS],295.0
105,BDH,Bedhampton [BDH],50.8539387223414,-0.9961838601590369,1h36m,1.0,London Waterloo [WAT],96.0
106,BDI,Bradford Interchange [BDI],53.79157733,-1.7502454330000001,2h54m,2.0,London Kings Cross [KGX],174.0
107,BDK,Baldock [BDK],51.992427744310206,-0.18814958916028898,36m,0.0,London Kings Cross [KGX],36.0
108,BDL,Birkdale [BDL],53.633284616599596,-3.01424980366593,3h10m,3.0,London Euston [EUS],190.0
109,BDN,Brading [BDN],50.6789885238258,-1.13861195530291,2h23m,2.0,London Waterloo [WAT],143.0
110,BDT,Bridlington [BDT],54.08420286435061,-0.198613,3h30m,3.0,London Kings Cross [KGX],210.0
111,BDY,Bredbury [BDY],53.42358303881121,-2.10948094107462,2h40m,2.0,London Euston [EUS],160.0
112,BEB,Bebington [BEB],53.35717473851479,-3.003504,2h45m,2.0,London Euston [EUS],165.0
113,BEE,Beeston [BEE],52.919521453722496,-1.20510732984071,1h45m,1.0,London St Pancras International [STP],105.0
114,BEF,Benfleet [BEF],51.544255,0.561442,43m,0.0,London Fenchurch Street [FST],43.0
115,BEG,Beltring [BEG],51.204122982603295,0.39990038576776105,1h06m,1.0,London Charing Cross [CHX],66.0
116,BEH,Bedworth [BEH],52.4800279987234,-1.468192,1h33m,1.0,London Euston [EUS],93.0
117,BER,Bearley [BER],52.245675,-1.749428,1h49m,1.0,London Marylebone [MYB],109.0
118,BEU,Beaulieu Road [BEU],50.855145,-1.504493,1h42m,1.0,London Waterloo [WAT],102.0
119,BEV,Beverley [BEV],53.842380727136295,-0.4231279815200129,3h04m,3.0,London Kings Cross [KGX],184.0
120,BEX,Bexhill [BEX],50.8410411485421,0.47693147556579707,1h53m,1.0,London Bridge [LBG],113.0
121,BEY,Ben Rhydding [BEY],53.92592444710979,-1.7958148524101898,2h53m,2.0,London Kings Cross [KGX],173.0
122,BFE,Bere Ferrers [BFE],50.451077260546704,-4.177242,3h50m,3.0,London Paddington [PAD],230.0
123,BFF,Blaenau Ffestiniog [BFF],52.9949304931977,-3.9370475025833196,4h04m,4.0,London Euston [EUS],244.0
124,BFN,Byfleet & New Haw [BFN],51.34982,-0.481274,37m,0.0,London Waterloo [WAT],37.0
125,BGA,Brundall Gardens [BGA],52.6214,1.417489,2h15m,2.0,London Liverpool Street [LST],135.0
126,BGD,Bargoed [BGD],51.693336,-3.230185,2h57m,2.0,London Paddington [PAD],177.0
127,BGE,Broad Green [BGE],53.4063924391671,-2.893422,2h44m,2.0,London Euston [EUS],164.0
128,BGH,Brighouse [BGH],53.6990477060097,-1.7789800113804901,2h57m,2.0,London Kings Cross [KGX],177.0
129,BGL,Bugle [BGL],50.401338,-4.7894814550424405,4h39m,4.0,London Paddington [PAD],279.0
130,BGN,Bridgend [BGN],51.506360795271206,-3.5758165621724802,2h28m,2.0,London Paddington [PAD],148.0
131,BHD,Brithdir [BHD],51.7096192574841,-3.2284267324837703,3h20m,3.0,London Paddington [PAD],200.0
132,BHI,Birmingham International [BHI],52.45216515,-1.723493862,1h12m,1.0,London Euston [EUS],72.0
133,BHM,Birmingham New Street [BHM],52.477374,-1.898042,1h22m,1.0,London Euston [EUS],82.0
134,BHR,Builth Road [BHR],52.1690223865854,-3.42705228060154,4h32m,4.0,London Euston [EUS],272.0
135,BHS,Brockholes [BHS],53.595251964755,-1.76945881663651,3h33m,3.0,London Kings Cross [KGX],213.0
136,BIA,Bishop Auckland [BIA],54.6591568877537,-1.6762112837160599,3h16m,3.0,London Kings Cross [KGX],196.0
137,BIC,Billericay [BIC],51.629330995687894,0.418162280616963,34m,0.0,London Liverpool Street [LST],34.0
138,BID,Bidston [BID],53.4093100754301,-3.078746,3h13m,3.0,London Euston [EUS],193.0
139,BIF,Barrow-in-Furness [BIF],54.1187740485644,-3.22600659569822,3h59m,3.0,London Euston [EUS],239.0
140,BIG,Billingshurst [BIG],51.0154692885263,-0.45083503903777794,1h09m,1.0,London Victoria [VIC],69.0
141,BIL,Billingham (Cleveland) [BIL],54.6073193517859,-1.2826153659621298,3h25m,3.0,London Kings Cross [KGX],205.0
142,BIN,Bingham [BIN],52.953850857078294,-0.952057544164374,2h08m,2.0,London Kings Cross [KGX],128.0
143,BIP,Bishopstone (Sussex) [BIP],50.78073913,0.083478636,1h31m,1.0,London Victoria [VIC],91.0
144,BIS,Bishops Stortford [BIS],51.867779,0.161882,38m,0.0,London Liverpool Street [LST],38.0
145,BIT,Bicester Village [BIT],51.893872,-1.14821,1h07m,0.0,London Marylebone [MYB],54.0
146,BIW,Biggleswade [BIW],52.085032,-0.261991,31m,0.0,London Kings Cross [KGX],31.0
147,BIY,Bingley [BIY],53.84855753,-1.837413,2h46m,2.0,London Kings Cross [KGX],166.0
148,BKA,Bookham [BKA],51.288674518052595,-0.3841518888051911,1h00m,0.0,London Victoria [VIC],51.0
149,BKC,Birkenhead Central [BKC],53.38832,-3.02088398056534,2h52m,2.0,London Euston [EUS],172.0
150,BKD,Blakedown [BKD],52.4058670698958,-2.17718664108565,2h18m,2.0,London Euston [EUS],138.0
151,BKM,Berkhamsted [BKM],51.7631478417474,-0.5619254771006689,33m,0.0,London Euston [EUS],33.0
152,BKN,Birkenhead North [BKN],53.4044980113455,-3.058196598457,3h10m,3.0,London Euston [EUS],190.0
153,BKO,Brookwood [BKO],51.3038378614876,-0.636063,35m,0.0,London Waterloo [WAT],35.0
154,BKP,Birkenhead Park [BKP],53.3969406505675,-3.039404,3h08m,3.0,London Euston [EUS],188.0
155,BKQ,Birkenhead Hamilton Square [BKQ],53.394391,-3.014229,2h55m,2.0,London Euston [EUS],175.0
156,BKS,Bekesbourne [BKS],51.2615,1.136373,1h38m,1.0,London St Pancras International [STP],98.0
157,BKT,Blake Street [BKT],52.60365039,-1.8449482680000002,1h47m,1.0,London Euston [EUS],107.0
158,BKW,Berkswell [BKW],52.3954991063915,-1.64237309757202,1h21m,1.0,London Euston [EUS],81.0
159,BLB,Battlesbridge [BLB],51.625878,0.57465,46m,0.0,London Liverpool Street [LST],46.0
160,BLD,Baildon [BLD],53.84985967,-1.757013,3h04m,3.0,London Kings Cross [KGX],184.0
161,BLE,Bramley (W Yorks) [BLE],53.8031205124897,-1.6383338042242899,2h38m,2.0,London Kings Cross [KGX],158.0
162,BLK,Blackrod [BLK],53.5925,-2.575188,3h00m,3.0,London Euston [EUS],180.0
163,BLL,Bardon Mill [BLL],54.9751365464944,-2.34711927393279,4h33m,4.0,London Euston [EUS],273.0
164,BLN,Blundellsands & Crosby [BLN],53.487732083865794,-3.0401624270125596,3h07m,3.0,London Euston [EUS],187.0
165,BLO,Blaydon [BLO],54.9660263193703,-1.71534357982022,3h32m,3.0,London Kings Cross [KGX],212.0
166,BLP,Belper [BLP],53.024172361703606,-1.48117849266157,2h00m,2.0,London St Pancras International [STP],120.0
167,BLW,Bulwell [BLW],53.0000300856842,-1.19559837995816,2h11m,2.0,London St Pancras International [STP],131.0
168,BLX,Bloxwich [BLX],52.6177748532386,-2.01254117912472,2h07m,2.0,London Euston [EUS],127.0
169,BLY,Bletchley [BLY],51.99442,-0.737599,39m,0.0,London Euston [EUS],39.0
170,BMB,Bamber Bridge [BMB],53.7266303935423,-2.66074098360599,2h52m,2.0,London Euston [EUS],172.0
171,BMC,Bromley Cross (Lancs) [BMC],53.62203848,-2.421015325,3h10m,3.0,London Euston [EUS],190.0
172,BME,Broome [BME],52.42400698608721,-2.88312933989234,3h21m,3.0,London Euston [EUS],201.0
173,BMF,Broomfleet [BMF],53.7397108133953,-0.670979736957067,2h39m,2.0,London Kings Cross [KGX],159.0
174,BMG,Barming [BMG],51.2840949075197,0.47838453031078493,1h00m,0.0,London Victoria [VIC],59.0
175,BMH,Bournemouth [BMH],50.727352,-1.864021,1h50m,1.0,London Paddington [PAD],110.0
176,BML,Bramhall [BML],53.3599970272366,-2.16485240975885,2h21m,2.0,London Euston [EUS],141.0
177,BMO,Birmingham Moor Street [BMO],52.478691,-1.892105,1h42m,1.0,London Euston [EUS],102.0
178,BMP,Brampton (Cumbria) [BMP],54.933385990909,-2.7012946610264903,4h18m,4.0,London Euston [EUS],258.0
179,BMR,Bromborough Rake [BMR],53.330398914955595,-2.98826407414416,2h39m,2.0,London Euston [EUS],159.0
180,BMT,Bedminster [BMT],51.4396058231403,-2.5946462661663396,1h59m,1.0,London Paddington [PAD],119.0
181,BMV,Bromsgrove [BMV],52.32232,-2.048019783,2h08m,2.0,London Euston [EUS],128.0
182,BMY,Bramley (Hants) [BMY],51.329600526728896,-1.05797393782219,1h02m,0.0,London Paddington [PAD],55.0
183,BNA,Burnage [BNA],53.4214764870395,-2.2169286257844703,2h40m,2.0,London Euston [EUS],160.0
184,BNC,Burnley Central [BNC],53.79356406,-2.24468291,3h26m,3.0,London Euston [EUS],206.0
185,BND,Brandon [BND],52.45395527907579,0.62467,1h42m,1.0,London Kings Cross [KGX],102.0
186,BNE,Bourne End [BNE],51.5777487753448,-0.71087409257429,1h01m,0.0,London Paddington [PAD],45.0
187,BNF,Briton Ferry [BNF],51.637836744996605,-3.8217211301392298,3h00m,3.0,London Paddington [PAD],180.0
188,BNG,Bangor (Gwynedd) [BNG],53.2230939529647,-4.13460208584217,3h17m,3.0,London Euston [EUS],197.0
189,BNM,Burnham (Bucks) [BNM],51.5233357578327,-0.646724686303403,31m,0.0,London Paddington [PAD],31.0
190,BNP,Barnstaple [BNP],51.075555,-4.062388,3h38m,3.0,London Paddington [PAD],218.0
191,BNT,Brinnington [BNT],53.4326803003138,-2.1349260132571,2h37m,2.0,London Euston [EUS],157.0
192,BNW,Bootle New Strand [BNW],53.453933,-2.992862,2h59m,2.0,London Euston [EUS],179.0
193,BNY,Barnsley [BNY],53.5537989732683,-1.4781218075629299,2h39m,2.0,London Kings Cross [KGX],159.0
194,BOA,Bradford-on-Avon [BOA],51.3455295,-2.253306361,1h34m,1.0,London Paddington [PAD],94.0
195,BOC,Bootle (Cumbria) [BOC],54.29041232951611,-3.39129660921391,4h19m,4.0,London Euston [EUS],259.0
196,BOD,Bodmin Parkway [BOD],50.4458499725599,-4.6629558895095,3h41m,3.0,London Paddington [PAD],221.0
197,BOE,Botley [BOE],50.9164386421245,-1.2615126843003999,1h33m,1.0,London Waterloo [WAT],93.0
198,BOG,Bognor Regis [BOG],50.7861679457845,-0.676061534990709,1h31m,1.0,London Victoria [VIC],91.0
199,BOH,Bosham [BOH],50.8419741513443,-0.8477342301544691,1h37m,1.0,London Victoria [VIC],97.0
200,BOM,Bromborough [BOM],53.320664,-2.988324,2h37m,2.0,London Euston [EUS],157.0
201,BON,Bolton [BON],53.57438001,-2.426748237,2h46m,2.0,London Euston [EUS],166.0
202,BOR,Bodorgan [BOR],53.203999,-4.414242,3h36m,3.0,London Euston [EUS],216.0
203,BOT,Bootle Oriel Road [BOT],53.44732132087461,-2.9954787870227597,2h58m,2.0,London Euston [EUS],178.0
204,BPB,Blackpool Pleasure Beach [BPB],53.787424,-3.055517,3h37m,3.0,London Euston [EUS],217.0
205,BPK,Brookmans Park [BPK],51.72152511,-0.20505146300000002,36m,0.0,London Kings Cross [KGX],36.0
206,BPN,Blackpool North [BPN],53.8221441375535,-3.04947790284709,2h52m,2.0,London Euston [EUS],172.0
207,BPS,Blackpool South [BPS],53.798742222759294,-3.04698029564645,3h39m,3.0,London Euston [EUS],219.0
208,BPW,Bristol Parkway [BPW],51.514197771082,-2.542268,1h22m,1.0,London Paddington [PAD],82.0
209,BRE,Brentwood [BRE],51.613684,0.300067,41m,0.0,London Liverpool Street [LST],41.0
210,BRF,Brierfield [BRF],53.8234569,-2.240801223,3h43m,3.0,London Euston [EUS],223.0
211,BRG,Borough Green & Wrotham [BRG],51.29381870979999,0.30670548686518295,46m,0.0,London Victoria [VIC],46.0
212,BRH,Borth [BRH],52.490812902414795,-4.04991587684676,4h13m,4.0,London Euston [EUS],253.0
213,BRI,Bristol Temple Meads [BRI],51.449712,-2.5805471552643304,1h37m,1.0,London Paddington [PAD],97.0
214,BRK,Berwick (Sussex) [BRK],50.84202946,0.166534572,1h19m,1.0,London Victoria [VIC],79.0
215,BRP,Brampton (Suffolk) [BRP],52.3952671898022,1.5433121823574298,2h22m,2.0,London Liverpool Street [LST],142.0
216,BRU,Bruton [BRU],51.11187188,-2.448847109,1h54m,1.0,London Paddington [PAD],114.0
217,BRV,Bournville [BRV],52.42541082,-1.936455838,1h53m,1.0,London Euston [EUS],113.0
218,BRW,Brunswick [BRW],53.383191792752704,-2.9761960612401803,2h42m,2.0,London Euston [EUS],162.0
219,BRY,Barry [BRY],51.4156342630937,-3.2933216349574304,2h44m,2.0,London Paddington [PAD],164.0
220,BSB,Bleasby [BSB],53.0406263741226,-0.9417963369029659,2h22m,2.0,London Kings Cross [KGX],142.0
221,BSC,Bescot Stadium [BSC],52.5631442856444,-1.991032,1h58m,1.0,London Euston [EUS],118.0
222,BSD,Bearsted [BSD],51.2755571736147,0.576375614638895,1h09m,1.0,London Victoria [VIC],69.0
223,BSE,Bury St Edmunds [BSE],52.252323,0.712501,1h38m,1.0,London Kings Cross [KGX],98.0
224,BSH,Bushey [BSH],51.6454878030395,-0.38402969541038,19m,0.0,London Euston [EUS],19.0
225,BSJ,Bedford St Johns [BSJ],52.129816,-0.46745577060552,1h13m,0.0,London Euston [EUS],54.0
226,BSK,Basingstoke [BSK],51.268495,-1.08789542516633,47m,0.0,London Paddington [PAD],47.0
227,BSM,Branksome [BSM],50.72714213,-1.9208913280000002,2h00m,2.0,London Paddington [PAD],120.0
228,BSO,Basildon [BSO],51.5681837642245,0.45668,36m,0.0,London Fenchurch Street [FST],36.0
229,BSR,Broadstairs [BSR],51.3605796857609,1.4342433335416898,1h24m,1.0,London St Pancras International [STP],84.0
230,BSV,Buckshaw Parkway [BSV],53.673053,-2.658903,2h40m,2.0,London Euston [EUS],160.0
231,BSW,Birmingham Snow Hill [BSW],52.48283034,-1.898279782,1h44m,1.0,London Euston [EUS],104.0
232,BTB,Barnetby [BTB],53.57502,-0.410303,2h35m,2.0,London Kings Cross [KGX],155.0
233,BTE,Bitterne [BTE],50.918774191358395,-1.3767929068166298,1h40m,1.0,London Paddington [PAD],100.0
234,BTF,Bottesford [BTF],52.9439093537302,-0.7938353304295971,1h56m,1.0,London Kings Cross [KGX],116.0
235,BTG,Barnt Green [BTG],52.3618405,-1.990895106,2h08m,2.0,London Euston [EUS],128.0
236,BTH,Bath Spa [BTH],51.37770096,-2.357104488,1h29m,1.0,London Paddington [PAD],89.0
237,BTL,Batley [BTL],53.710705,-1.623415,2h41m,2.0,London Kings Cross [KGX],161.0
238,BTN,Brighton [BTN],50.829464,-0.141418,1h08m,1.0,London Bridge [LBG],68.0
239,BTP,Braintree Freeport [BTP],51.869978431290996,0.5709656585506179,1h00m,0.0,London Liverpool Street [LST],59.0
240,BTT,Battersby [BTT],54.45753846952721,-1.09360730575402,3h54m,3.0,London Kings Cross [KGX],234.0
241,BTY,Bentley (Hants) [BTY],51.180717044517294,-0.871101,1h00m,1.0,London Waterloo [WAT],60.0
242,BUB,Burnley Barracks [BUB],53.7923223,-2.266413115,3h35m,3.0,London Euston [EUS],215.0
243,BUD,Burneside (Cumbria) [BUD],54.354476560416096,-2.76768304826698,3h04m,3.0,London Euston [EUS],184.0
244,BUE,Bures [BUE],51.985839843867105,0.7455650013754371,1h04m,1.0,London Liverpool Street [LST],64.0
245,BUG,Burgess Hill [BUG],50.952697,-0.128291,1h00m,0.0,London Bridge [LBG],55.0
246,BUH,Brough [BUH],53.727936827428294,-0.580176672659209,2h34m,2.0,London Kings Cross [KGX],154.0
247,BUJ,Burton Joyce [BUJ],52.982898052478596,-1.04401749400081,2h10m,2.0,London Kings Cross [KGX],130.0
248,BUK,Bucknell [BUK],52.35727697576261,-2.9474050545138297,3h30m,3.0,London Euston [EUS],210.0
249,BUL,Butlers Lane [BUL],52.5925839,-1.8381673040000002,1h49m,1.0,London Euston [EUS],109.0
250,BUO,Bursledon [BUO],50.884023143575895,-1.30592281111369,1h54m,1.0,London Paddington [PAD],114.0
251,BUT,Burton-on-Trent [BUT],52.806949622025,-1.6438597577426202,1h30m,1.0,London Euston [EUS],90.0
